# radius        density         temperature       velocity          h          he          c           n           o           ne           mg           si          s          ar          ca          ti          cr           fe           ni          fe52
     1.640625e+10       2.177258e+00       3.899911e+07       3.498759e+07       8.555118e-14       2.568570e-02       9.924761e-06       0.000000e+00       1.070939e-08       2.578092e-08       5.576006e-08       1.821946e-06       2.749891e-06       6.793638e-06       3.536715e-05       7.233165e-05       7.271447e-05       4.395132e-02       1.344826e-04       9.300267e-01
     1.671875e+10       2.150853e+00       3.887402e+07       3.498759e+07       8.556761e-14       2.568593e-02       9.925295e-06       0.000000e+00       1.071017e-08       2.578262e-08       5.576627e-08       1.822122e-06       2.750126e-06       6.794072e-06       3.536837e-05       7.233279e-05       7.272229e-05       4.394093e-02       1.344828e-04       9.300368e-01
     1.703125e+10       2.127668e+00       3.875874e+07       3.498759e+07       8.558353e-14       2.568615e-02       9.925746e-06       0.000000e+00       1.071091e-08       2.578413e-08       5.577143e-08       1.822258e-06       2.750330e-06       6.794458e-06       3.536968e-05       7.233395e-05       7.272938e-05       4.393204e-02       1.344831e-04       9.300455e-01
     1.734375e+10       2.109150e+00       3.865054e+07       3.498759e+07       8.559940e-14       2.568638e-02       9.926156e-06       0.000000e+00       1.071162e-08       2.578564e-08       5.577612e-08       1.822369e-06       2.750514e-06       6.794823e-06       3.537111e-05       7.233520e-05       7.273618e-05       4.392361e-02       1.344835e-04       9.300537e-01
     1.781250e+10       2.088101e+00       3.853507e+07       3.498759e+07       8.562435e-14       2.568677e-02       9.926739e-06       0.000000e+00       1.071271e-08       2.578812e-08       5.578279e-08       1.822499e-06       2.750764e-06       6.795362e-06       3.537361e-05       7.233731e-05       7.274627e-05       4.391075e-02       1.344844e-04       9.300662e-01
     1.843750e+10       2.065469e+00       3.839466e+07       3.498759e+07       8.566077e-14       2.568743e-02       9.927520e-06       0.000000e+00       1.071419e-08       2.579190e-08       5.579173e-08       1.822646e-06       2.751078e-06       6.796094e-06       3.537756e-05       7.234060e-05       7.275987e-05       4.389246e-02       1.344860e-04       9.300838e-01
     1.906250e+10       2.044826e+00       3.824179e+07       3.498759e+07       8.570302e-14       2.568827e-02       9.928356e-06       0.000000e+00       1.071578e-08       2.579644e-08       5.580129e-08       1.822786e-06       2.751390e-06       6.796878e-06       3.538238e-05       7.234457e-05       7.277409e-05       4.387207e-02       1.344883e-04       9.301033e-01
     1.968750e+10       2.026897e+00       3.810146e+07       3.558975e+07       8.575308e-14       2.568935e-02       9.929279e-06       0.000000e+00       1.071751e-08       2.580198e-08       5.581183e-08       1.822926e-06       2.751709e-06       6.797736e-06       3.538822e-05       7.234935e-05       7.278915e-05       4.384874e-02       1.344914e-04       9.301255e-01
     2.031250e+10       2.013838e+00       3.803730e+07       3.690389e+07       8.581201e-14       2.569075e-02       9.930335e-06       0.000000e+00       1.071942e-08       2.580876e-08       5.582384e-08       1.823073e-06       2.752042e-06       6.798694e-06       3.539509e-05       7.235498e-05       7.280526e-05       4.382112e-02       1.344959e-04       9.301517e-01
     2.093750e+10       2.015636e+00       3.794770e+07       3.812927e+07       8.587957e-14       2.569252e-02       9.931553e-06       0.000000e+00       1.072153e-08       2.581688e-08       5.583767e-08       1.823233e-06       2.752400e-06       6.799764e-06       3.540287e-05       7.236135e-05       7.282259e-05       4.378830e-02       1.345018e-04       9.301827e-01
     2.187500e+10       2.019925e+00       3.796090e+07       3.984094e+07       8.600602e-14       2.569640e-02       9.933970e-06       0.000000e+00       1.072536e-08       2.583333e-08       5.586511e-08       1.823536e-06       2.753042e-06       6.801746e-06       3.541659e-05       7.237290e-05       7.285263e-05       4.372083e-02       1.345161e-04       9.302462e-01
     2.312500e+10       2.021528e+00       3.800812e+07       4.237604e+07       8.620839e-14       2.570360e-02       9.938189e-06       0.000000e+00       1.073146e-08       2.586185e-08       5.591307e-08       1.824067e-06       2.754089e-06       6.804944e-06       3.543639e-05       7.239048e-05       7.289774e-05       4.359827e-02       1.345442e-04       9.303615e-01
     2.437500e+10       2.020119e+00       3.803462e+07       4.524332e+07       8.643721e-14       2.571303e-02       9.943543e-06       0.000000e+00       1.073847e-08       2.589643e-08       5.597356e-08       1.824783e-06       2.755392e-06       6.808709e-06       3.545573e-05       7.240993e-05       7.294689e-05       4.343359e-02       1.345832e-04       9.305166e-01
     2.562500e+10       2.023685e+00       3.809962e+07       4.837287e+07       8.667215e-14       2.572411e-02       9.949725e-06       0.000000e+00       1.074586e-08       2.593321e-08       5.604178e-08       1.825680e-06       2.756928e-06       6.812857e-06       3.547297e-05       7.243094e-05       7.299807e-05       4.323498e-02       1.346302e-04       9.307039e-01
     2.687500e+10       2.052122e+00       3.819165e+07       5.163603e+07       8.688984e-14       2.573586e-02       9.956190e-06       0.000000e+00       1.075284e-08       2.596762e-08       5.611026e-08       1.826700e-06       2.758605e-06       6.817105e-06       3.548711e-05       7.245115e-05       7.304633e-05       4.301252e-02       1.346814e-04       9.309145e-01
     2.875000e+10       2.107189e+00       3.843741e+07       5.606537e+07       8.721413e-14       2.575498e-02       9.966277e-06       0.000000e+00       1.076285e-08       2.601029e-08       5.620293e-08       1.828532e-06       2.761602e-06       6.824405e-06       3.550898e-05       7.249984e-05       7.313749e-05       4.271315e-02       1.347488e-04       9.311945e-01
     3.125000e+10       2.110121e+00       3.872176e+07       6.011084e+07       8.779385e-14       2.578880e-02       9.983146e-06       0.000000e+00       1.078004e-08       2.607086e-08       5.634095e-08       1.831567e-06       2.766664e-06       6.836917e-06       3.556042e-05       7.263899e-05       7.335585e-05       4.236606e-02       1.348250e-04       9.315073e-01
     3.375000e+10       2.091852e+00       3.867207e+07       6.378721e+07       8.859895e-14       2.584023e-02       1.000686e-05       0.000000e+00       1.080533e-08       2.614567e-08       5.652168e-08       1.835548e-06       2.773199e-06       6.852793e-06       3.565845e-05       7.290535e-05       7.370630e-05       4.196817e-02       1.349040e-04       9.318529e-01
     3.625000e+10       2.070579e+00       3.864938e+07       6.779260e+07       8.954273e-14       2.591470e-02       1.003847e-05       0.000000e+00       1.084015e-08       2.623381e-08       5.674759e-08       1.840883e-06       2.781590e-06       6.871987e-06       3.582030e-05       7.329445e-05       7.412521e-05       4.147308e-02       1.349993e-04       9.322724e-01
     3.875000e+10       2.049723e+00       3.875284e+07       7.270922e+07       9.056969e-14       2.601890e-02       1.007962e-05       0.000000e+00       1.088646e-08       2.633825e-08       5.702168e-08       1.848408e-06       2.793094e-06       6.897540e-06       3.604792e-05       7.375130e-05       7.451553e-05       4.092374e-02       1.351666e-04       9.327162e-01
     4.062500e+10       2.036807e+00       3.880342e+07       7.673013e+07       9.137057e-14       2.611022e-02       1.011460e-05       0.000000e+00       1.092614e-08       2.642432e-08       5.724709e-08       1.855105e-06       2.803275e-06       6.920233e-06       3.624103e-05       7.409818e-05       7.478039e-05       4.051393e-02       1.353417e-04       9.330336e-01
     4.187500e+10       2.037250e+00       3.885121e+07       7.943830e+07       9.194887e-14       2.618204e-02       1.014150e-05       0.000000e+00       1.095682e-08       2.648973e-08       5.741605e-08       1.860471e-06       2.811439e-06       6.938704e-06       3.638518e-05       7.432333e-05       7.494564e-05       4.024736e-02       1.355068e-04       9.332276e-01
     4.312500e+10       2.039403e+00       3.895649e+07       8.198014e+07       9.259099e-14       2.626312e-02       1.017139e-05       0.000000e+00       1.099095e-08       2.656298e-08       5.760184e-08       1.866551e-06       2.820769e-06       6.960498e-06       3.653166e-05       7.452919e-05       7.511060e-05       3.998941e-02       1.357372e-04       9.334036e-01
     4.406250e+10       2.042056e+00       3.904224e+07       8.379825e+07       9.310740e-14       2.632766e-02       1.019495e-05       0.000000e+00       1.101785e-08       2.662111e-08       5.774794e-08       1.871360e-06       2.828202e-06       6.978273e-06       3.663826e-05       7.467324e-05       7.523661e-05       3.979891e-02       1.359452e-04       9.335290e-01
     4.468750e+10       2.044957e+00       3.911114e+07       8.491376e+07       9.348315e-14       2.637359e-02       1.021154e-05       0.000000e+00       1.103677e-08       2.666230e-08       5.785079e-08       1.874736e-06       2.833466e-06       6.991206e-06       3.670613e-05       7.476319e-05       7.532466e-05       3.967151e-02       1.361129e-04       9.336100e-01
